Ülke;Kategori;Yıl;Yüzde
OECD ortalaması;İstihdam Oranı;2018;68.4
İzlanda;İstihdam Oranı;2018;85.1
İsviçre;İstihdam Oranı;2018;80.1
Yeni Zelanda;İstihdam Oranı;2018;77.5
İsveç;İstihdam Oranı;2018;77.4
Hollanda;İstihdam Oranı;2018;77.2
Japonya;İstihdam Oranı;2018;76.9
Almanya;İstihdam Oranı;2018;75.9
İngiltere;İstihdam Oranı;2018;75.6
Çek Cumhuriyeti;İstihdam Oranı;2018;74.8
Norveç;İstihdam Oranı;2018;74.8
Estonya;İstihdam Oranı;2018;74.8
Danimarka;İstihdam Oranı;2018;74.1
Avustralya;İstihdam Oranı;2018;73.8
Kanada;İstihdam Oranı;2018;73.5
Avusturya;İstihdam Oranı;2018;73
Litvanya ;İstihdam Oranı;2018;72.4
Finlandiya;İstihdam Oranı;2018;72.1
Letonya;İstihdam Oranı;2018;71.8
Slovenya;İstihdam Oranı;2018;71.1
ABD;İstihdam Oranı;2018;70.7
Portekiz;İstihdam Oranı;2018;69.7
Macaristan;İstihdam Oranı;2018;69.3
İsrail;İstihdam Oranı;2018;69
İrlanda;İstihdam Oranı;2018;68.7
Slovakya;İstihdam Oranı;2018;67.6
Polonya;İstihdam Oranı;2018;67.4
Lüksemburg;İstihdam Oranı;2018;67.1
Kore;İstihdam Oranı;2018;66.6
Kolombiya;İstihdam Oranı;2018;66.4
Fransa;İstihdam Oranı;2018;65.3
Belçika;İstihdam Oranı;2018;64.5
Şili;İstihdam Oranı;2018;64.1
İspanya;İstihdam Oranı;2018;62.4
Meksika;İstihdam Oranı;2018;61.5
İtalya;İstihdam Oranı;2018;58.5
Yunanistan;İstihdam Oranı;2018;54.9
Türkiye;İstihdam Oranı;2018;52
